feature_name,importance
v233_imputed,0.0020944147997781653
r_emaildomain_ohe_gmail.com,0.0020898912758234647
v187_imputed,0.0020115070896215828
card1_imputed,0.002009731554240893
id_11_ohe___MISSING__,0.001973776276461582
v199_imputed,0.0019156425973529594
v126_imputed,0.0018341504160972067
v54_imputed,0.0017324969381069745
card5_imputed,0.0017097921483538406
d5_imputed,0.0015914846358911516
c9_imputed,0.0014790180342914383
v99_imputed,0.0014417454824611042
v130_imputed,0.001412487059706298
event_hour_sin_imputed,0.0013031058362657515
id_35_ohe_T,0.0012865734343219515
v289_imputed,0.0012671279382826456
v96_imputed,0.0012317515960031354
d11_imputed,0.001220167001916205
addr1_imputed,0.0012160971140527544
v40_imputed,0.0011976930908624203
v33_imputed,0.001169707751904144
v293_imputed,0.0011570039746725445
v87_imputed,0.0011537521815678624
v203_imputed,0.001095211345601002
productcd_ohe_R,0.0010916923674136661
event_hour_cos_imputed,0.0010660107025566197
v177_imputed,0.0009959084714545737
id_12_ohe_Found,0.0009913771769011173
r_emaildomain_ohe_anonymous.com,0.0009055159875258382
p_emaildomain_ohe_gmail.com,0.0008891203924095445
v296_imputed,0.0008624554583502693
id_01_ohe_-50.0,0.0007955054957458427
v132_imputed,0.0007891859393227742
productcd_ohe_W,0.0007679352309859644
v76_imputed,0.0007557714017482017
p_emaildomain_ohe_hotmail.com,0.000752917543755999
event_second_cos_imputed,0.0007389649478459531
id_17_ohe_166.0,0.0007368152960969085
event_second_sin_imputed,0.0007365804041167309
m4_ohe_M2,0.0006697849422393997
v291_imputed,0.0006542994938923857
event_minute_cos_imputed,0.0006326788149395632
card4_ohe_mastercard,0.0006189484423035491
m5_ohe___MISSING__,0.00061006227497773
v83_imputed,0.0005886317586570283
dist1_imputed,0.0005871336181068832
event_minute_sin_imputed,0.0005800943917388183
m5_ohe_T,0.0005449800568698097
p_emaildomain_ohe_anonymous.com,0.0005378085999051844
r_emaildomain_ohe_hotmail.com,0.0005369023065389231
id_12_ohe_NotFound,0.0005303486004233457
v231_imputed,0.0004904663770504414
m4_ohe_M1,0.0004232831661691113
v55_imputed,0.0004113725607930957
m4_ohe_M0,0.0004020115483022503
card4_ohe_discover,0.00034412979846154497
v230_imputed,0.0003249320886422115
v10_imputed,0.00031278523279074083
v75_imputed,0.0002902938919284087
id_35_ohe___MISSING__,0.0002730874360724198
p_emaildomain_ohe___OTHER__,0.0002504135330816455
id_29_ohe___MISSING__,0.0002473916876761655
card4_ohe_visa,0.00023188375237958957
p_emaildomain_ohe___MISSING__,0.0002273445175855472
productcd_ohe_S,0.00020508942178587715
r_emaildomain_ohe___OTHER__,0.00019852173972510155
m6_ohe_F,0.00018250116368194973
card4_ohe_american express,0.00017263904708103103
m5_ohe_F,0.00016475210995121328
id_01_ohe_-25.0,0.0001587721605931544
p_emaildomain_ohe_yahoo.com,0.00015820159460998285
m6_ohe___MISSING__,0.000155496195940193
id_01_ohe_-10.0,0.0001548230502514804
m6_ohe_T,0.00015346670881804874
id_17_ohe___OTHER__,0.00014875716857949608
p_emaildomain_ohe_comcast.net,0.00012526622518113125
p_emaildomain_ohe_aol.com,0.00012454826712048297
id_01_ohe_-5.0,0.00011939984304432516
id_01_ohe_-20.0,0.00010917809091773047
id_17_ohe_100.0,0.00010827595728439619
id_29_ohe_NotFound,0.00010792554820777886
p_emaildomain_ohe_icloud.com,8.876443615311465e-05
id_36_ohe_T,8.290852625295366e-05
id_11_ohe_95.16000366210938,7.329026475592473e-05
p_emaildomain_ohe_msn.com,6.705166555223659e-05
id_11_ohe_96.66999816894531,6.585521256826803e-05
id_17_ohe_159.0,6.434375858112472e-05
r_emaildomain_ohe_yahoo.com,6.29089370246697e-05
id_28_ohe_New,6.0879676204251757e-05
id_17_ohe_121.0,5.939562362017573e-05
id_01_ohe___OTHER__,5.540741980003915e-05
id_01_ohe_-35.0,5.2613208037910384e-05
r_emaildomain_ohe_live.com,4.928185941269821e-05
p_emaildomain_ohe_outlook.com,4.401219783425667e-05
id_01_ohe_-100.0,4.042611025238647e-05
productcd_ohe_H,3.777810950467177e-05
id_01_ohe_-15.0,3.624344642792302e-05
id_17_ohe___MISSING__,3.462746898223688e-05
id_28_ohe_Found,3.427643569158638e-05
id_11_ohe___OTHER__,2.8526014788945358e-05
id_11_ohe_95.08000183105469,2.8380213342956947e-05
r_emaildomain_ohe_aol.com,2.755357673024463e-05
id_01_ohe___MISSING__,1.9276606254620744e-05
r_emaildomain_ohe_comcast.net,1.8261059775336658e-05
p_emaildomain_ohe_att.net,1.457792804045821e-05
id_11_ohe_97.13999938964844,1.2428581133059555e-05
id_01_ohe_0.0,9.651579722631619e-06
id_17_ohe_148.0,6.860794150560863e-06
r_emaildomain_ohe_outlook.es,3.818971623855598e-06
r_emaildomain_ohe_icloud.com,2.4198798549908484e-06
card4_ohe___MISSING__,0.0
card6_ohe___MISSING__,0.0
id_01_ohe_-45.0,0.0
id_11_ohe_94.29000091552734,0.0
id_11_ohe_95.6500015258789,0.0
id_11_ohe_96.72000122070312,0.0
id_11_ohe_97.12000274658205,0.0
id_11_ohe_97.5,0.0
id_17_ohe_102.0,0.0
id_17_ohe_106.0,0.0
id_17_ohe_110.0,0.0
id_17_ohe_199.0,0.0
r_emaildomain_ohe_outlook.com,0.0
