feature_name,importance
v287_imputed,0.0016968035129913028
email_domain_match_imputed,0.0016873059310388294
v49_imputed,0.0016641769759813743
m5_ohe___MISSING__,0.0016585357698631076
v69_imputed,0.00165542592840163
p_emaildomain_ohe_msn.com,0.0016263119545371421
r_emaildomain_ohe___OTHER__,0.0016197764367929363
v279_imputed,0.001553641231102275
v95_imputed,0.0013841601473324628
v274_imputed,0.0013185945637332608
id_01_ohe_0.0,0.0013091108400983143
p_emaildomain_ohe_outlook.com,0.0012768754941099671
p_emaildomain_ohe_gmail.com,0.0012566220192948658
id_36_ohe_T,0.001248799675299496
v318_imputed,0.0012173983353048025
v102_imputed,0.0011393308672955765
v99_imputed,0.0010991666787189991
p_emaildomain_ohe_att.net,0.0010881233806293998
id_17_ohe_166.0,0.0010855415268778096
v134_imputed,0.0010847254238982177
v132_imputed,0.0010288335233277813
r_emaildomain_ohe_yahoo.com,0.0009337965981540016
v33_imputed,0.0009213782939571291
v199_imputed,0.0009193246060836634
v171_imputed,0.0008763090596380276
v168_imputed,0.0008542549012489026
v10_imputed,0.0008492662637671251
card4_ohe_american express,0.000823698389856368
v190_imputed,0.0007915244322445619
id_01_ohe_-5.0,0.0007830370383008794
p_emaildomain_ohe_icloud.com,0.0007490289927914483
v204_imputed,0.0007449863072636172
id_12_ohe_NotFound,0.0007302256069597978
v293_imputed,0.0007190387936717584
v30_imputed,0.0006501379954189444
v280_imputed,0.0006474616721149024
r_emaildomain_ohe_aol.com,0.0006370929442823922
v103_imputed,0.0006213834309054892
id_01_ohe_-10.0,0.000616364952137427
r_emaildomain_ohe_outlook.com,0.0006072223105020813
v306_imputed,0.0005818140058038032
v231_imputed,0.0005769614233726091
id_01_ohe_-35.0,0.0005540610583989915
v230_imputed,0.0005460532707818862
v316_imputed,0.0005454893303386833
id_01_ohe_-25.0,0.0005408637667523087
id_01_ohe_-20.0,0.0005399941730015324
v282_imputed,0.0005237028029285515
v29_imputed,0.0005099993878847192
v52_imputed,0.0004943006348454438
id_28_ohe_New,0.00048654691474834323
v79_imputed,0.00047203230529269384
id_01_ohe_-15.0,0.00047014718152643925
id_12_ohe_Found,0.0004430686719446973
r_emaildomain_ohe_live.com,0.00043742921642425214
id_17_ohe___OTHER__,0.00042920521342030497
v232_imputed,0.0004252281125723712
r_emaildomain_ohe_outlook.es,0.000406386629548356
r_emaildomain_ohe_comcast.net,0.0004020451390459544
id_11_ohe_96.66999816894531,0.0003897443656519289
id_01_ohe___OTHER__,0.00037292492787222465
id_11_ohe___OTHER__,0.00037146062747052074
v177_imputed,0.0003092600329882433
v202_imputed,0.0002839494092407994
id_29_ohe_Found,0.00027937005307978317
id_11_ohe_95.6500015258789,0.0002712008408131746
r_emaildomain_ohe___MISSING__,0.00026714449722006376
id_17_ohe_148.0,0.0002479827117332324
id_11_ohe_97.13999938964844,0.00022475914056667166
v233_imputed,0.00021868590032044725
v91_imputed,0.0002179971580638435
id_11_ohe_100.0,0.00019129244813601015
id_01_ohe_-45.0,0.0001909343482230434
r_emaildomain_ohe_icloud.com,0.000186408957559597
v295_imputed,0.00018489818969249605
v246_imputed,0.000184404745741514
v217_imputed,0.00014453545364095583
id_35_ohe_F,0.00014248370427833668
id_17_ohe_100.0,0.0001379750016896865
id_11_ohe_95.16000366210938,8.984159337301175e-05
id_17_ohe_102.0,8.902324203546652e-05
